CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
200000,1,41.0,SELFENQUIRY,3,6.0,SALARIED,FEMALE,3,3.0,DELUXE,3.0,SINGLE,1.0,1,2,1,0.0,MANAGER,20993.0
200001,0,49.0,COMPANYINVITED,1,14.0,SALARIED,MALE,3,4.0,DELUXE,4.0,DIVORCED,2.0,0,3,1,2.0,MANAGER,20130.0
200002,1,37.0,SELFENQUIRY,1,8.0,FREELANCER,MALE,3,4.0,BASIC,3.0,SINGLE,7.0,1,3,0,0.0,EXECUTIVE,17090.0
200003,0,33.0,COMPANYINVITED,1,9.0,SALARIED,FEMALE,2,3.0,BASIC,3.0,DIVORCED,2.0,1,5,1,1.0,EXECUTIVE,17909.0
200005,0,32.0,COMPANYINVITED,1,8.0,SALARIED,MALE,3,3.0,BASIC,3.0,SINGLE,1.0,0,5,1,1.0,EXECUTIVE,18068.0
200006,0,59.0,SELFENQUIRY,1,9.0,SMALLBUSINESS,FEMALE,2,2.0,BASIC,5.0,DIVORCED,5.0,1,2,1,1.0,EXECUTIVE,17670.0
200007,0,30.0,SELFENQUIRY,1,30.0,SALARIED,MALE,3,3.0,BASIC,3.0,MARRIED,2.0,0,2,0,1.0,EXECUTIVE,17693.0
200008,0,38.0,COMPANYINVITED,1,29.0,SALARIED,MALE,2,4.0,STANDARD,3.0,UNMARRIED,1.0,0,3,0,0.0,SENIORMANAGER,24526.0
200009,0,36.0,SELFENQUIRY,1,33.0,SMALLBUSINESS,MALE,3,3.0,DELUXE,3.0,DIVORCED,7.0,0,3,1,0.0,MANAGER,20237.0
200010,0,35.0,SELFENQUIRY,1,22.0,SMALLBUSINESS,MALE,2,2.0,BASIC,4.0,DIVORCED,1.0,0,3,1,1.0,EXECUTIVE,17426.0
200012,0,31.0,SELFENQUIRY,1,32.0,SALARIED,MALE,2,3.0,BASIC,3.0,MARRIED,2.0,0,3,0,1.0,EXECUTIVE,17911.0
200013,0,34.0,SELFENQUIRY,1,25.0,SMALLBUSINESS,MALE,3,3.0,BASIC,3.0,MARRIED,1.0,0,3,0,2.0,EXECUTIVE,17661.0
200014,1,28.0,SELFENQUIRY,1,30.0,SALARIED,MALE,2,4.0,BASIC,3.0,SINGLE,6.0,1,2,0,0.0,EXECUTIVE,17028.0
200015,0,29.0,SELFENQUIRY,1,27.0,SALARIED,FEMALE,2,2.0,STANDARD,5.0,MARRIED,2.0,0,5,1,1.0,SENIORMANAGER,24980.0
200016,0,32.0,SELFENQUIRY,1,11.0,SALARIED,MALE,3,2.0,BASIC,4.0,MARRIED,1.0,1,2,1,0.0,EXECUTIVE,18298.0
200017,0,22.0,COMPANYINVITED,1,22.0,SMALLBUSINESS,MALE,3,2.0,BASIC,3.0,MARRIED,2.0,1,3,0,0.0,EXECUTIVE,17935.0
200018,0,53.0,SELFENQUIRY,3,8.0,SALARIED,FEMALE,3,4.0,SUPERDELUXE,3.0,DIVORCED,3.0,0,3,1,0.0,AVP,30427.0
200022,0,34.0,SELFENQUIRY,1,13.0,SALARIED,FEMALE,2,3.0,STANDARD,4.0,UNMARRIED,1.0,0,3,1,0.0,SENIORMANAGER,26994.0
200023,0,21.0,SELFENQUIRY,1,21.0,SALARIED,MALE,3,3.0,BASIC,3.0,SINGLE,2.0,0,3,1,1.0,EXECUTIVE,16232.0
200024,1,34.0,SELFENQUIRY,1,12.0,SMALLBUSINESS,MALE,2,3.0,BASIC,5.0,SINGLE,3.0,0,2,1,1.0,EXECUTIVE,17960.0
200025,0,53.0,SELFENQUIRY,1,11.0,SALARIED,FEMALE,2,3.0,KING,3.0,MARRIED,5.0,0,5,0,1.0,VP,34094.0
200027,0,42.0,SELFENQUIRY,3,14.0,SMALLBUSINESS,MALE,2,3.0,DELUXE,4.0,DIVORCED,1.0,0,3,0,1.0,MANAGER,21825.0
200028,0,44.0,SELFENQUIRY,1,13.0,SMALLBUSINESS,FEMALE,2,4.0,STANDARD,3.0,DIVORCED,4.0,0,4,1,0.0,SENIORMANAGER,25248.0
200029,0,46.0,SELFENQUIRY,3,8.0,SMALLBUSINESS,FEMALE,2,3.0,KING,5.0,SINGLE,4.0,0,2,0,1.0,VP,33947.0
200030,0,33.0,SELFENQUIRY,1,8.0,SMALLBUSINESS,MALE,3,3.0,BASIC,3.0,SINGLE,5.0,0,3,1,2.0,EXECUTIVE,17496.0
200031,0,44.0,SELFENQUIRY,1,16.0,SALARIED,MALE,2,3.0,DELUXE,3.0,DIVORCED,3.0,1,3,1,1.0,MANAGER,21465.0
200032,0,30.0,SELFENQUIRY,1,15.0,SMALLBUSINESS,MALE,2,4.0,BASIC,3.0,SINGLE,2.0,0,4,1,1.0,EXECUTIVE,17206.0
200033,1,39.0,SELFENQUIRY,3,11.0,LARGEBUSINESS,MALE,2,3.0,DELUXE,3.0,DIVORCED,4.0,0,2,0,1.0,MANAGER,17086.0
200034,1,24.0,SELFENQUIRY,1,6.0,SMALLBUSINESS,MALE,3,3.0,BASIC,3.0,DIVORCED,3.0,1,3,1,2.0,EXECUTIVE,17293.0
200035,0,43.0,SELFENQUIRY,1,8.0,SMALLBUSINESS,FEMALE,3,2.0,BASIC,3.0,MARRIED,2.0,0,2,0,1.0,EXECUTIVE,17645.0
200036,1,50.0,SELFENQUIRY,3,9.0,SMALLBUSINESS,MALE,2,4.0,BASIC,3.0,DIVORCED,2.0,1,4,0,0.0,EXECUTIVE,17683.0
200037,0,35.0,SELFENQUIRY,3,8.0,SMALLBUSINESS,FEMALE,3,3.0,BASIC,3.0,DIVORCED,2.0,0,2,1,0.0,EXECUTIVE,17014.0
200039,0,33.0,COMPANYINVITED,3,6.0,SALARIED,FEMALE,2,2.0,DELUXE,5.0,DIVORCED,3.0,0,3,1,0.0,MANAGER,20376.0
200040,0,35.0,SELFENQUIRY,1,10.0,SALARIED,MALE,3,3.0,BASIC,3.0,MARRIED,2.0,0,4,0,0.0,EXECUTIVE,16951.0
200041,0,27.0,SELFENQUIRY,1,8.0,SALARIED,FEMALE,2,3.0,BASIC,5.0,MARRIED,2.0,0,3,0,1.0,EXECUTIVE,17341.0
200042,1,26.0,SELFENQUIRY,1,31.0,SALARIED,MALE,2,5.0,BASIC,3.0,SINGLE,2.0,0,2,1,1.0,EXECUTIVE,17293.0
200043,0,27.0,COMPANYINVITED,3,14.0,SALARIED,MALE,2,3.0,STANDARD,3.0,UNMARRIED,2.0,0,2,1,0.0,SENIORMANAGER,23726.0
200045,1,41.0,SELFENQUIRY,1,18.0,LARGEBUSINESS,FEMALE,2,3.0,KING,3.0,DIVORCED,2.0,0,4,1,0.0,VP,34545.0
200047,0,37.0,SELFENQUIRY,1,25.0,SALARIED,MALE,3,3.0,BASIC,4.0,DIVORCED,5.0,0,4,1,1.0,EXECUTIVE,18022.0
200048,0,46.0,COMPANYINVITED,3,11.0,SMALLBUSINESS,MALE,3,3.0,DELUXE,3.0,SINGLE,5.0,1,5,1,1.0,MANAGER,20772.0
200049,0,35.0,SELFENQUIRY,1,14.0,SALARIED,MALE,2,2.0,BASIC,3.0,DIVORCED,2.0,0,5,1,1.0,EXECUTIVE,17269.0
200050,1,48.0,SELFENQUIRY,1,6.0,SALARIED,MALE,3,4.0,STANDARD,3.0,SINGLE,1.0,1,5,0,2.0,SENIORMANAGER,20381.0
200052,0,44.0,SELFENQUIRY,3,6.0,SMALLBUSINESS,FEMALE,3,3.0,DELUXE,5.0,MARRIED,6.0,1,2,0,0.0,MANAGER,20454.0
200053,0,35.0,COMPANYINVITED,1,17.0,SMALLBUSINESS,MALE,3,4.0,STANDARD,5.0,DIVORCED,3.0,1,5,1,1.0,SENIORMANAGER,24884.0
200055,0,33.0,COMPANYINVITED,1,6.0,SALARIED,FEMALE,3,3.0,STANDARD,3.0,UNMARRIED,2.0,1,2,1,0.0,SENIORMANAGER,28458.0
200056,0,35.0,COMPANYINVITED,3,24.0,SALARIED,MALE,3,3.0,STANDARD,5.0,DIVORCED,2.0,0,4,1,0.0,SENIORMANAGER,24069.0
200058,0,31.0,SELFENQUIRY,1,13.0,SALARIED,MALE,2,3.0,DELUXE,3.0,MARRIED,4.0,0,3,1,0.0,MANAGER,20915.0
200059,0,37.0,SELFENQUIRY,1,6.0,SALARIED,MALE,2,4.0,DELUXE,3.0,MARRIED,2.0,0,5,1,1.0,MANAGER,20993.0
200060,0,32.0,SELFENQUIRY,1,6.0,SMALLBUSINESS,MALE,2,3.0,DELUXE,3.0,DIVORCED,2.0,1,4,1,0.0,MANAGER,21162.0
200061,0,38.0,COMPANYINVITED,1,35.0,SALARIED,FEMALE,2,3.0,DELUXE,3.0,SINGLE,2.0,0,3,1,0.0,MANAGER,17406.0
200062,0,50.0,SELFENQUIRY,1,13.0,SMALLBUSINESS,FEMALE,2,4.0,KING,3.0,MARRIED,6.0,1,4,1,1.0,VP,33740.0
200063,0,59.0,SELFENQUIRY,3,31.0,SALARIED,FEMALE,2,3.0,STANDARD,5.0,UNMARRIED,1.0,0,3,1,0.0,SENIORMANAGER,22637.0
200064,0,36.0,SELFENQUIRY,1,14.0,LARGEBUSINESS,FEMALE,2,3.0,STANDARD,3.0,MARRIED,2.0,0,4,1,1.0,SENIORMANAGER,25096.0
200065,0,55.0,SELFENQUIRY,1,14.0,SMALLBUSINESS,FEMALE,2,3.0,SUPERDELUXE,3.0,MARRIED,3.0,1,3,0,1.0,AVP,29756.0
